key,Artist,genre,dance,energy,loudness,speechiness,acoustic,live,valence,tempo,popularity,log_popularity
(don't fear) the reaper blue ã–yster cult,Blue Ã–yster Cult,Rock,0.28894278469848966,0.9099053242390308,0.6891257225433526,0.04687164050741777,0.0038209062239367036,0.28482522559900425,0.4125999158603281,0.5690800446289928,865330.0,5.937181760468306
(fuck a) silver lining panic! at the disco,Panic! At The Disco,Pop,0.5557270422224672,0.9419729206963249,0.9204924410849267,0.09051816813588476,0.0275545330862564,0.2262213463333679,0.7233908287757678,0.3602295862616317,735460.0,5.866559057414775
(you make me feel like) a natural woman aretha franklin,Aretha Franklin,Other,0.5843898136919855,0.2619362720146595,0.6778568252556693,0.005052676843689529,0.6879420672958606,0.1224976662171974,0.39629785443836774,0.3935920587998482,1001492.0,6.000647484463612
...ready for it? taylor swift,Taylor Swift,Pop,0.6009260280013229,0.773999796396213,0.7785682525566918,0.16039561384648465,0.06007745399470729,0.17228503267295925,0.4005048380311317,0.6765490746385396,1193427.21428571,6.076795937043654
<3 bad bunny,Bad Bunny,Rap,0.615257413736082,0.6630357324646239,0.7471654068474878,0.22059772092023222,0.6099275841198257,0.13494450783113784,0.6392511569204881,0.21795166726095305,1330494.33333333,6.124013029201345
1.5 21 savage,21 Savage,Hiphop,0.8952706427075295,0.5154229868675557,0.7259337483325923,0.36035261234143195,0.00024338492400710512,0.44819002178197287,0.29427850231384095,0.23905266911282627,1159828.5,6.064393776287227
1950 king princess,King Princess,Pop,0.5584830779406902,0.5281482235569581,0.7611160515784793,0.0825091378198237,0.6590665767696658,0.12197904781661655,0.24852755574253263,0.16924797846766124,843657.816666667,5.926166334698184
200 km/h apache 207,Apache 207,Hiphop,0.9134604784478007,0.6716888934134174,0.7792630057803468,0.15717050096753388,0.2745666239734941,0.08671299657711855,0.4125999158603281,0.6073281266175133,833393.5625,5.920850141451803
2000 miles - 2007 remaster pretenders,Pretenders,Other,0.16216514166023593,0.7068105466761682,0.7065362383281458,0.012040421414749519,0.0029546415081508617,0.08308266777305258,0.44888514934791757,0.13663603216048031,915914.5,5.961854934463395
2002 anne-marie,Anne-Marie,Pop,0.6880167566971668,0.6813600732973634,0.8780013339261894,0.10019350677273706,0.037686284148079105,0.11938595581371228,0.6066470340765671,0.3087049540482407,1043656.075,6.018557405430888
